,comuna_id,circle_id,x_coord,y_coord,overlap_wrt_circle,overlap_wrt_comuna,median_income_comuna,median_income_circle
161,13113,191,-70.58395814541625,-33.44352941176471,0.007165406450245291,0.0009721245687651651,1004199.0,1160285.0
162,13113,196,-70.48984049835742,-33.44352941176471,0.043084465902845454,0.005845232664344856,1004199.0,
163,13113,195,-70.50866402776919,-33.44352941176471,0.8532808946340174,0.11576388966787118,1004199.0,
164,13113,210,-70.57411764705883,-33.42588235294117,0.17392762198828945,0.023596611817593198,1004199.0,835586.0
165,13113,193,-70.54631108659272,-33.44352941176471,1.0,0.13566914529068852,1004199.0,1408448.0
166,13113,211,-70.55529411764707,-33.42588235294117,0.21926955812331772,0.029748113538857465,1004199.0,957184.0
167,13113,194,-70.52748755718096,-33.44352941176471,1.0,0.13566914529068852,1004199.0,2108641.5
168,13113,175,-70.55529411764707,-33.461176470588235,0.5942394275558645,0.08061995523453216,1004199.0,597904.0
169,13113,213,-70.51764705882353,-33.42588235294117,0.059328511896190074,0.008049048500324554,1004199.0,391636.0
170,13113,179,-70.48,-33.461176470588235,0.025937276614844233,0.00351888814950408,1004199.0,
171,13113,178,-70.49882352941177,-33.461176470588235,0.5058462084069887,0.06862772274311166,1004199.0,
172,13113,192,-70.56513461600449,-33.44352941176471,0.9187618888032647,0.12464764017959754,1004199.0,1171631.0
173,13113,212,-70.5364705882353,-33.42588235294117,0.15803542764928022,0.021440531394826295,1004199.0,858430.5
174,13113,174,-70.57411764705883,-33.461176470588235,0.15159540781031444,0.020566819407618727,1004199.0,794414.0
175,13113,176,-70.5364705882353,-33.461176470588235,0.6182131397958482,0.08387244828357568,1004199.0,471877.0
176,13113,177,-70.51764705882353,-33.461176470588235,0.42089923053896594,0.057103038860729975,1004199.0,495532.5
177,13114,196,-70.48984049835742,-33.44352941176471,0.9569155340971602,0.030795972179380737,1008725.0,
178,13114,227,-70.58395814541625,-33.408235294117645,0.8052537043086175,0.02591510931905673,1008725.0,808188.0
179,13114,228,-70.56513461600449,-33.408235294117645,1.0,0.03218253971437136,1008725.0,1014980.0
180,13114,248,-70.5364705882353,-33.39058823529412,0.8218656646092524,0.026449724391165472,1008725.0,1286756.0
