,code,zips,fb_keys,Users,Males,Females,High school grad,College grad,Away from hometown,Away from family,Recently moved,Single,Married,Civil union,Engaged,iOS,Android,Frequent international travelers,Frequent Travelers,Returned from travels 1 week ago,Technology early adopters,2G,3G,4G,WiFi,Expats,Gambling,Casino,Catholic Church,Buddhism,Atheism,Cooking,Restaurants,Fast food,LGBT community,Homosexuality,Same-sex marriage,Fitness and wellness,Older devices,Mac,iPhone X,Huawei,VIVO,Oppo,iPhone 8,iPhone 8 Plus,Galaxy S8,Galaxy S8+,Galaxy S9,Galaxy S9+,smartphone e tablet,tablet,Cherry Mobile,Samsung Android,Windows,income
131,1146,30256,US:30256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46151.0
132,1147,30257,US:30257,1566.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7659574468085106,,,,,,,,,,,,,0.7021276595744681,,,,,43915.0
133,1148,30258,US:30258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52716.0
134,1149,30259,US:30259,1433.3333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7906976744186046,,,,,,,,,,,,,,,,,,57500.0
135,1150,30260,US:30260,7033.333333333333,0.46919431279620855,0.5260663507109005,0.1990521327014218,0.24170616113744076,,,,0.19194312796208532,0.17772511848341233,,,0.31753554502369674,0.31753554502369674,0.15639810426540285,0.5308056872037915,,,,,0.31753554502369674,0.3981042654028436,0.26540284360189575,0.2132701421800948,,0.15639810426540285,,,0.3933649289099526,0.3412322274881517,0.3696682464454977,,,,0.5402843601895735,0.18483412322274884,,,,,,,,,,,,0.6303317535545023,0.3412322274881517,,0.18483412322274884,,45760.0
136,1151,30263,US:30263,32000.0,0.4270833333333333,0.5833333333333334,0.225,0.34375,0.13854166666666665,0.13541666666666666,,0.153125,0.3958333333333333,,,0.2989583333333333,0.265625,0.09583333333333333,0.5208333333333334,0.0375,0.0546875,,,0.284375,0.4104166666666667,0.04375,0.146875,0.06979166666666667,0.09583333333333333,0.034375,,0.6145833333333334,0.5208333333333334,0.3479166666666667,0.10104166666666667,0.0375,0.075,0.7604166666666666,0.17083333333333334,,,,,,,0.0375,,,,,0.6041666666666666,0.34270833333333334,,0.159375,0.065625,51290.0
137,1152,30265,US:30265,15333.333333333334,0.3847826086956522,0.5913043478260869,0.1847826086956522,0.3652173913043478,0.1608695652173913,0.1608695652173913,,0.13043478260869565,0.4282608695652174,,,0.3326086956521739,0.19999999999999998,0.12717391304347825,0.5021739130434782,,0.07173913043478261,,,0.2152173913043478,0.4217391304347826,,0.13043478260869565,,0.09565217391304348,,,0.5913043478260869,0.5108695652173912,0.3217391304347826,0.09565217391304348,,0.07173913043478261,0.7391304347826088,0.15217391304347827,,,,,,,,,,,,0.55,0.3108695652173913,,0.1326086956521739,,81532.0
138,1153,30268,US:30268,3166.6666666666665,0.45263157894736844,0.5368421052631579,,0.37894736842105264,,,,,0.37894736842105264,,,,0.3473684210526316,,0.5473684210526316,,,,,0.6947368421052632,0.4,,,,,,,0.4421052631578948,0.6,0.4105263157894737,,,,0.6,,,,,,,,,,,,,0.6210526315789474,0.39473684210526316,,,,50396.0
139,1154,30269,US:30269,31333.333333333332,0.40425531914893614,0.5851063829787234,0.13617021276595745,0.39361702127659576,0.16382978723404254,0.16063829787234044,,0.10425531914893617,0.4255319148936171,,,0.348936170212766,0.15531914893617021,0.12127659574468086,0.5106382978723405,,0.08617021276595745,,,0.2297872340425532,0.4255319148936171,0.09042553191489362,0.10425531914893617,0.03829787234042553,0.11702127659574468,0.041489361702127664,,0.5319148936170214,0.45744680851063835,0.27553191489361706,0.07765957446808511,,0.06382978723404256,0.723404255319149,0.15106382978723404,0.05106382978723405,,,,,0.03829787234042553,0.041489361702127664,,,,,0.5531914893617021,0.2968085106382979,,0.11063829787234042,0.08297872340425533,92989.0
140,1155,30273,US:30273,2666.6666666666665,0.46875,0.55,,,,,,,,,,,,,0.5125000000000001,,,,,0.675,0.46875,,,,,,,0.5625,0.525,,,,,0.5875,,,,,,,,,,,,,0.6250000000000001,,,,,56865.0
