,upz_id,x_coord,y_coord,zat_id,upz_name,local_name,local_id,population,median_income,circle_id,lat,lon,overlap_wrt_circle,overlap_wrt_upz
109,28,-74.08082,4.73881,836,EL RINCON,SUBA,11,10116,2,78,4.742,-74.0924,0.6120597883913798,0.19837413564939435
110,28,-74.08082,4.73881,836,EL RINCON,SUBA,11,10116,2,79,4.758,-74.1014,0.016014924677612345,0.005190582522601559
111,28,-74.08082,4.73881,836,EL RINCON,SUBA,11,10116,2,99,4.742,-74.0748,0.16657918633727675,0.05398982702929367
112,28,-74.08082,4.73881,836,EL RINCON,SUBA,11,10116,2,57,4.742,-74.1101,0.2575430296976385,0.08347203472240865
113,28,-74.08082,4.73881,836,EL RINCON,SUBA,11,10116,2,77,4.726,-74.1014,0.6513224693380973,0.21109952709612437
114,28,-74.08082,4.73881,836,EL RINCON,SUBA,11,10116,2,98,4.726,-74.0838,0.5518066320201146,0.17884554049905518
115,28,-74.08082,4.73881,836,EL RINCON,SUBA,11,10116,2,76,4.7101,-74.0924,0.37606618729728564,0.12188646643186823
116,28,-74.08082,4.73881,836,EL RINCON,SUBA,11,10116,2,97,4.7101,-74.0748,0.004156685121812164,0.0013472193956302046
117,29,-74.102209,4.713807,122,MINUTO DE DIOS,ENGATIVA,10,8667,2,77,4.726,-74.1014,0.08538109211509227,0.07240659550015248
118,29,-74.102209,4.713807,122,MINUTO DE DIOS,ENGATIVA,10,8667,2,75,4.6941,-74.1014,0.047737888761757254,0.04048364709301771
119,29,-74.102209,4.713807,122,MINUTO DE DIOS,ENGATIVA,10,8667,2,55,4.7101,-74.1101,0.2780431908755075,0.23579179364626474
120,29,-74.102209,4.713807,122,MINUTO DE DIOS,ENGATIVA,10,8667,2,76,4.7101,-74.0924,0.5368438995871636,0.4552651895308943
121,29,-74.102209,4.713807,122,MINUTO DE DIOS,ENGATIVA,10,8667,2,96,4.6941,-74.0838,0.08154783519280973,0.0691558396648238
122,30,-74.106333,4.703251,185,BOYACA REAL,ENGATIVA,10,8118,3,75,4.6941,-74.1014,0.9431973651011144,0.597656517741152
